model_type,target,rmse,mae,r2
svr,PHQ,3.525152497802403,2.0330033903155407,-0.2005945982075119
svr,GAD,2.8870563960243363,1.4263810182879055,-0.1924719298580122
svr,ISI,3.4773418008192842,2.201739490121668,-0.1315969794700511
svr,PSS,9.445565320051095,8.056078767753728,0.0012519554469274663
svr,total,15.064225617101883,11.423419062602676,-0.0018611972120814446
xgb,PHQ,3.245842224506804,2.3347353689358816,-0.017877179383203545
xgb,GAD,2.661132470276274,1.7338242048524581,-0.013142696368457107
xgb,ISI,3.3227071704920346,2.3922507733271265,-0.03319228484990866
xgb,PSS,9.481129267434486,8.060200390894769,-0.006283070702277405
xgb,total,15.09859305590773,11.559164760301565,-0.00643769255507709
rf,PHQ,3.2392114005185384,2.3342613746140555,-0.013722651883183223
rf,GAD,2.664151507638353,1.7447268203972641,-0.015442807869163966
rf,ISI,3.302618037962265,2.3786615586805238,-0.020736663370162
rf,PSS,9.4113669348368,8.055498872412162,0.008470949289792529
rf,total,15.069505674889005,11.471249588697969,-0.002563631205170225
