,rmse,mae,r2,pearson_r,p_value
PSS3,0.7557990573511404,0.62561195793463,-0.012881463556859929,0.051946280976715616,0.08707219586787669
PSS11,0.8927420948596925,0.7155614751363376,-0.013566103728471335,0.026821868507086757,0.37721326270339206
PSS6,1.4854331586294949,1.2921900966882778,0.01958492214845864,0.1431190235383377,2.1864129258742326e-06
ISI7,0.5502913576523855,0.4475502124131668,-0.03033900444813109,0.009376130771764708,0.7575978375337242
ISI1,0.6227398106722007,0.44653507297503553,-0.040189569748677156,-0.014092177956505253,0.6427272050405464
PSS1,0.7429677188494143,0.6049990179734311,-0.003215713377395346,0.0782596279430083,0.00988015473585967
PSS10,1.4300600778983694,1.2413123869098373,0.004999638307609855,0.09824574585065927,0.00118795034540479
GAD5,0.3666899841079503,0.1653747971064907,-0.025314917580624208,0.004441523483549592,0.8837631832033566
PSS7,1.3725553762299731,1.1784293312262764,0.0067018496085041734,0.10152344088518733,0.0008067664273486366
PHQ5,0.5149735607242789,0.35613476247548265,-0.0370016779022464,-0.01612026289098022,0.5956557070579329
PHQ6,0.45269766060936467,0.3004237064561559,-0.02437273318880573,0.019762995555705563,0.515308975397572
ISI2,0.5659126092488839,0.32556679815940803,-0.013877491450606572,0.044722103263337885,0.14079557134614765
GAD2,0.4960584603302242,0.3249809770993596,-0.030079386476034697,0.012584506389935055,0.6786872928595711
ISI3,0.5840083407004747,0.38713468613089524,-0.03410561296949499,-0.01863260603238821,0.5396286799073493
GAD1,0.5715692099241616,0.4637313275216509,-0.02369542819183512,0.028915107764282168,0.34110458261053006
PSS13,1.3560958828277458,1.1625734704876298,0.014820326196411382,0.12796799532123648,2.340370674713153e-05
GAD3,0.501196606084142,0.36537846636443716,-0.015667077487170555,0.03270757996510314,0.2815208138414127
PHQ3,0.5479109664549704,0.41025616140010307,-0.02493351947380229,0.0060540020652428425,0.8420446882675835
GAD6,0.4576817380424823,0.29783958981014036,-0.026198431130400657,0.02136336729827164,0.4818757360046277
ISI5,0.5949951099912788,0.49880401957172227,-0.01662723616434958,0.05154966637844736,0.08951402234230003
PHQ7,0.48403609802777287,0.3232885674447598,-0.012802166993134634,0.041588532908642215,0.17082926007688162
PSS8,0.961929062387301,0.754764188671095,-0.013714296834622886,0.0076971445893570176,0.7999843962407893
PSS12,1.3703815250716693,1.178886111351713,-0.002217906154691196,0.07252974135133755,0.016821837812212716
PSS14,0.9164919677611297,0.7320581095184295,-0.008023903649729824,0.052881580959938224,0.08152616020259712
ISI6,0.49114214754037355,0.3527259174708447,-0.03331973034741953,0.0015344264984937445,0.9597175137940424
GAD7,0.36483854105557084,0.1820945516717072,-0.047041367153394464,0.0031159403119356494,0.9183071949263627
PSS4,1.4929970862547948,1.3329867323889584,0.009237763626921969,0.11333379885284448,0.00018210900654759538
PSS9,1.3996368446841787,1.2136080125635633,0.015124251173157077,0.13016909060905726,1.6847114731190494e-05
PHQ4,0.5936712365230001,0.5057270870075069,-0.0380714052059532,-0.03631913629622115,0.23173726800717492
PHQ8,0.36559044421263465,0.18270646144795152,-0.013200871399194236,0.019598705728207818,0.5188079551532738
GAD4,0.5133103615790635,0.34694019608153365,-0.014442290562965088,0.04188778459528514,0.1677692015590814
PHQ2,0.5149025580920423,0.41511033553394666,-0.00508492317354281,0.06721753238049041,0.026754871121793318
PHQ9,0.28330536034980586,0.10036548012776807,-0.021315163137840987,0.023189020043657485,0.4452216078474101
PSS5,1.4877236277352988,1.3149544698060225,0.012406804187865883,0.1234721095230977,4.5055416119697586e-05
PSS2,0.7163379296491409,0.5831191361824973,-0.011881673426447525,0.04824618867643367,0.112054952651772
PHQ1,0.5549920599403747,0.4544313775583704,-0.02527696499911336,0.0013510207540611482,0.9645289837125958
ISI4,0.8512656013946069,0.7045567516247686,-0.00037455649254414247,0.084703677833637,0.005219346164144829
average,0.7628359792823619,0.6023976162241055,-0.014485325166393798,0.04342467779454738,
