sample_id,subscale,S_total,S_base,S_corr
1451,PHQ,0.012224849050910258,0.17468716858869016,-0.1624623195377799
1451,GAD,0.3170412974703405,0.1359007765900273,0.18114052088031318
1451,ISI,-0.5594102421030671,-0.3939016135830897,-0.16550862851997739
1451,PSS,-0.40396979263056076,0.07703679430368737,-0.48100658693424814
1695,PHQ,0.012224849050911146,0.17468716858869016,-0.162462319537779
1695,GAD,0.3170412974703396,0.1359007765900273,0.1811405208803123
1695,ISI,-0.5594102421030671,-0.3939016135830897,-0.16550862851997739
1695,PSS,-0.40396979263056065,0.07703679430368737,-0.481006586934248
3432,PHQ,0.012224849050911146,0.17468716858869016,-0.162462319537779
3432,GAD,0.31704129747034315,0.13590077659003086,0.1811405208803123
3432,ISI,-0.559410242103068,-0.3939016135830897,-0.16550862851997827
3432,PSS,-0.4039697926305599,0.07703679430368737,-0.48100658693424725
2324,PHQ,0.012224849050914699,0.1746871685886937,-0.162462319537779
2324,GAD,0.31704129747034404,0.13590077659003086,0.18114052088031318
2324,ISI,-0.5594102421030707,-0.3939016135830933,-0.16550862851997739
2324,PSS,-0.4039697926305571,0.07703679430369093,-0.481006586934248
73240,PHQ,0.012224849050911257,0.17468716858869016,-0.1624623195377789
73240,GAD,0.3170412974703404,0.1359007765900273,0.18114052088031307
73240,ISI,-0.5594102421030661,-0.3939016135830897,-0.1655086285199764
73240,PSS,-0.4039697926305609,0.07703679430368737,-0.48100658693424825
1133,PHQ,0.01222484905090937,0.17468716858869016,-0.16246231953778079
1133,GAD,0.31704129747034315,0.13590077659003086,0.1811405208803123
1133,ISI,-0.5594102421030698,-0.3939016135830933,-0.1655086285199765
1133,PSS,-0.40396979263056076,0.07703679430368737,-0.48100658693424814
1367,PHQ,0.012224849050914643,0.1746871685886937,-0.16246231953777907
1367,GAD,0.3170412974703432,0.13590077659003086,0.18114052088031235
1367,ISI,-0.5594102421030716,-0.3939016135830933,-0.16550862851997833
1367,PSS,-0.4039697926305571,0.07703679430369093,-0.481006586934248
6425,PHQ,0.012224849050911146,0.17468716858869016,-0.162462319537779
6425,GAD,0.31704129747034315,0.13590077659003086,0.1811405208803123
6425,ISI,-0.5594102421030671,-0.3939016135830897,-0.16550862851997739
6425,PSS,-0.40396979263056054,0.07703679430368737,-0.4810065869342479
1707,PHQ,0.012224849050911146,0.17468716858869016,-0.162462319537779
1707,GAD,0.3170412974703396,0.1359007765900273,0.1811405208803123
1707,ISI,-0.5594102421030671,-0.3939016135830897,-0.16550862851997739
1707,PSS,-0.40396979263056065,0.07703679430368737,-0.481006586934248
2483,PHQ,0.012224849050911146,0.17468716858869016,-0.162462319537779
2483,GAD,0.31704129747034315,0.13590077659003086,0.1811405208803123
2483,ISI,-0.5594102421030671,-0.3939016135830897,-0.16550862851997739
2483,PSS,-0.40396979263056065,0.07703679430368737,-0.481006586934248
